1;7898403780062;20;6;13,50
1;7898403780680;1;20;1,53
1;7898403780673;1;20;1,53
1;7898403780581;5;10;2,61
1;7898403780277;2;24;1,36
1;7898403781458;1;24;1,78
1;7898403781489;1;24;1,78
1;7898403780116;2;24;4,45
1;7898403781892;1;12;4,41
1;7898403781908;1;12;4,41
1;7898403781533;2;12;2,86
1;7898403781014;1;12;2,86
1;7898403782073;1;24;1,78
1;7898403780635;2;12;5,49
1;7898403780949;1;24;1,53
1;7898403782158;1;24;1,39
1;7898403782707;1;12;6,63
1;7898403782738;1;12;3,05
1;7898403782745;1;12;3,05
